Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Zimbabwe,ZWE,..,7.628090425,17.22719787,14.08005119,23.84891062,15.5953451,7.69180817,10.94931298,18.2783321,19.15260038,19.99774965,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Zambia,ZMB,..,2.07416994,3.95945257,4.768634849,4.728333599,4.763002085,4.179721596,4.697571589,9.305716898,13.99769893,10.96800044,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Yemen, Rep.",YEM,..,35.05774856,61.52214821,60.77636785,60.01919564,64.03333096,50.62494325,57.41150891,56.33151866,68.76679885,48.69834884,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,West Bank and Gaza,PSE,..,99.18650448,99.9,99.00319511,100,99.2127679,100,99.60046699,99.96033793,99.07033081,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Virgin Islands (U.S.),VIR,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Vietnam,VNM,..,83.38702081,97.9150677,98.54904237,98.61660792,98.53547882,98.85342753,99.69692662,98.77843945,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Venezuela, RB",VEN,..,91.86206038,90.4674512,90.24554367,94.3297609,93.55002034,100,100,94.9302911,93.23009296,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Vanuatu,VUT,..,6.83324049,31.72940778,27.5035806,29.67319622,13.76430939,36.19953525,40.0490006,46.5896373,52.84027472,51.10510986,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Uzbekistan,UZB,..,99.38542905,99.48670681,99.63155569,99.83129609,99.94736418,99.99259568,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Uruguay,URY,..,88.50343963,92.70470458,94.60445741,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,United States,USA,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ukraine,UKR,..,..,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Uganda,UGA,..,1.883576711,3.468448918,4.464942849,9.978453918,3.554696835,11.9075422,9.046522868,17.6943752,24.40728334,38.01845831,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tuvalu,TUV,..,..,95.4042122,95.70795712,96.16587664,96.67197591,97.31557436,98.18118305,99.26411737,99.66671969,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Turks and Caicos Islands,TCA,57.9485631,73.60642969,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Turkmenistan,TKM,..,99.5151127,100,99.84173486,99.96693504,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Turkey,TUR,..,..,100,99.88871787,99.97735753,100,100,100,100,100,100,..
